created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Thu Jul 21 00:31:12 +0000 2022,1549914855326461952,"Setelah Kadiv Propam Sambo dinonaktifkan, menyusul Karo Paminal yg dituduh keluarga J mengintimidasi, serta Kapolres Jaksel yg dituduh keluarga J tdk jalankan prosedur standar tindak kriminal. Btw kalau Fadil Imran yg terlibat peluk tangis dgn Sambo, kapan ya ? 🤧 https://t.co/hsRoIjfYvX",9,42,285,997,in,227320530,1549914855326461952,hipohan,https://twitter.com/hipohan/status/1549914855326461952,
Wed Jul 20 23:02:32 +0000 2022,1549892544590336001,"Kapolri juga seharusnya mencopot Kapolda Irjenpol Fadil Imran, demi obyektifitas penyidikan. Pro justisia. #Nalar ... https://t.co/2X3XyxESur",7,50,163,481,in,129750289,1549776601444782080,ZAEffendy,https://twitter.com/ZAEffendy/status/1549892544590336001,
Wed Jul 20 17:13:54 +0000 2022,1549804806768062464,Karo Paminal Brigjend Hendra dan Kapolres Jaksel Kombes Budi sudah dinonaktifkan. Tinggal Kapolda Metro Jaya Irjen Fadil yg menunggu ketegasan Kapolri...  #TangkapFerdySambo https://t.co/exKlpPG8YP,11,52,191,646,in,981436209208680450,1549804806768062464,kulitbumi,https://twitter.com/kulitbumi/status/1549804806768062464,
Wed Jul 20 06:44:23 +0000 2022,1549646384088788993,"Ya Ampun... Berpelukan dengan Irjen Ferdy Sambo, Kapolda Fadil Imran Langgar Aturan? Pakar Hukum Tegas Singgung Nama Napoleon Bonaparte https://t.co/4ScJncsT27",8,26,131,323,in,207412269,1549646384088788993,myputun,https://twitter.com/myputun/status/1549646384088788993,
Fri Jul 15 14:53:38 +0000 2022,1547957568512724994,"Ternyata menurut Satpam, pergantian mendadak CCTV paska baku tembak"" dibiayai oleh Sambo, apakah biaya pergantian alat ini yang membuat Sambo menangis saat dipeluk Fadil ? 🤧 https://t.co/lCqAhAOVEh""",12,46,220,571,in,227320530,1547957568512724994,hipohan,https://twitter.com/hipohan/status/1547957568512724994,
Fri Jul 15 08:13:54 +0000 2022,1547856973764632576,@BuronanMabes Fadil imran dan dudung CS sedang panik musibah apa yg akan menimpa mereka ..yuk jumat berkah semoga Mubahalah HRS bs lebih cepat trjdi kpd aktor dajjal dan pemainya  ..tolong baca Al Fatihah ✊ https://t.co/oN50Xo02Td,2,25,67,455,in,1513324629913341955,1547853724626071552,TigaPerioDead,https://twitter.com/TigaPerioDead/status/1547856973764632576,BuronanMabes
Thu Jul 14 01:00:01 +0000 2022,1547385394613948417,"Irjen. Pol. Dr. Drs. H. Mohammad Fadil Imran, M. Si. . . . | @jokowi @DivHumas_Polri https://t.co/YdF9ydHrFS",18,100,161,897,in,1524799155608371200,1547385394613948417,AK__aja,https://twitter.com/AK__aja/status/1547385394613948417,"jokowi, DivHumas_Polri"
Thu Jul 14 01:00:01 +0000 2022,1547385392562708480,"Irjen. Pol. Dr. Drs. H. Mohammad Fadil Imran, M. Si. . . . | @jokowi @DivHumas_Polri https://t.co/PJqt7agRL7",10,25,61,265,in,1159689173340585984,1547385392562708480,__AnakKolong,https://twitter.com/__AnakKolong/status/1547385392562708480,"jokowi, DivHumas_Polri"
Wed Jul 13 02:28:24 +0000 2022,1547045246084988928,Chilzen pas nyebut member 127 itu 10: disuruh move on Chilzen pas nyebut member 127 itu 9: kok 9? Member 127 itu 10  Gitu aja terus ampe Fadil Zaidi jadi member 127,23,11,71,391,in,193667013,1547045246084988928,suhshine2919,https://twitter.com/suhshine2919/status/1547045246084988928,
Tue Jul 12 01:03:21 +0000 2022,1546661455537512449,widih Ryu Junyeol ketemu Fadil Jaidi.,23,45,75,666,in,51604405,1546661455537512449,ArditErwandha,https://twitter.com/ArditErwandha/status/1546661455537512449,
